date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:02	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:55:02%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/images_it244/relative_path_descendant_directory.jpg	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/class_notes_it244/images_it244/relative_path_descendant_directory.jpg	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/14_class_notes_it244.html)
11:55:03	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:55:03%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/images_it244/relative_pathname_ancestor_directory.jpg	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/class_notes_it244/images_it244/relative_pathname_ancestor_directory.jpg	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/14_class_notes_it244.html)
11:55:04	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:55:04%20GMT	https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/images_it244/relative_pathname_side_directory.jpg	/home/d/websites/umbcs2/www.cs.umb.edu/_tsoro/teaching/IT244_html/class_notes_it244/images_it244/relative_pathname_side_directory.jpg	(from https://www.cs.umb.edu/~tsoro/teaching/IT244_html/class_notes_it244/14_class_notes_it244.html)
11:55:06	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2029%20Oct%202019%2015:55:05%20GMT	https://www.cs.umb.edu/media/img/mainpage/IMG_1461.jpg	/home/d/websites/umbcs2/www.cs.umb.edu/media/img/mainpage/IMG_1461.jpg	(from https://www.cs.umb.edu/)
11:55:06	102/102	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:55:06%20GMT	https://www.cs.umb.edu/img/glyphicons-halflings.png	/home/d/websites/umbcs2/www.cs.umb.edu/img/glyphicons-halflings.png	(from https://www.cs.umb.edu/static/bootstrap.min.css)
11:55:06	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2029%20Oct%202019%2015:55:05%20GMT	https://www.cs.umb.edu/media/img/mainpage/IMG_1030.jpg	/home/d/websites/umbcs2/www.cs.umb.edu/media/img/mainpage/IMG_1030.jpg	(from https://www.cs.umb.edu/)
11:55:06	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2029%20Oct%202019%2015:55:05%20GMT	https://www.cs.umb.edu:443/umbcs/documents/CS_dept_IT_Policies.pdf	/home/d/websites/umbcs2/www.cs.umb.edu_443/umbcs/documents/CS_dept_IT_Policies.pdf	(from https://www.cs.umb.edu/)
11:55:06	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2029%20Oct%202019%2015:55:05%20GMT	https://www.cs.umb.edu/media/img/regular/unix_lab14.jpg	/home/d/websites/umbcs2/www.cs.umb.edu/media/img/regular/unix_lab14.jpg	(from https://www.cs.umb.edu/sp/about/facilities/)
11:55:07	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2029%20Oct%202019%2015:55:07%20GMT	https://www.cs.umb.edu/media/img/regular/Web_Lab_1.jpg	/home/d/websites/umbcs2/www.cs.umb.edu/media/img/regular/Web_Lab_1.jpg	(from https://www.cs.umb.edu/sp/about/facilities/)
11:55:07	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2029%20Oct%202019%2015:55:07%20GMT	https://www.cs.umb.edu/media/img/regular/war_room.jpg	/home/d/websites/umbcs2/www.cs.umb.edu/media/img/regular/war_room.jpg	(from https://www.cs.umb.edu/sp/about/facilities/)
11:55:07	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2029%20Oct%202019%2015:55:07%20GMT	https://www.cs.umb.edu/media/img/regular/Web_Lab_2.jpg	/home/d/websites/umbcs2/www.cs.umb.edu/media/img/regular/Web_Lab_2.jpg	(from https://www.cs.umb.edu/sp/about/facilities/)
